Time,Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
1/18/2022 10:54:13 PM,"828","18.2","33","990"
1/18/2022 10:56:13 PM,"839","18.1","33","989"
1/18/2022 10:58:13 PM,"847","18.1","33","989"
1/18/2022 11:00:13 PM,"837","18.1","33","989"
1/18/2022 11:02:13 PM,"831","18.1","33","989"
1/18/2022 11:04:13 PM,"848","18.0","33","989"
1/18/2022 11:06:13 PM,"788","18.1","33","989"
1/18/2022 11:08:13 PM,"932","18.1","33","989"
1/18/2022 11:10:13 PM,"832","18.2","33","989"
1/18/2022 11:12:13 PM,"828","18.3","33","989"
1/18/2022 11:14:13 PM,"856","18.2","33","989"
1/18/2022 11:16:13 PM,"846","18.1","33","989"
1/18/2022 11:18:13 PM,"838","18.1","33","989"
1/18/2022 11:20:13 PM,"849","17.9","33","989"
1/18/2022 11:22:13 PM,"846","17.9","33","989"
1/18/2022 11:24:13 PM,"873","17.9","33","989"
1/18/2022 11:26:13 PM,"866","17.9","33","989"
1/18/2022 11:28:13 PM,"888","17.9","33","989"
1/18/2022 11:30:13 PM,"871","17.8","33","989"
1/18/2022 11:32:13 PM,"845","17.8","33","989"
1/18/2022 11:34:13 PM,"812","17.7","33","989"
1/18/2022 11:36:13 PM,"796","17.7","33","989"
1/18/2022 11:38:13 PM,"778","17.7","33","989"
1/18/2022 11:40:13 PM,"794","17.7","33","989"
1/18/2022 11:42:13 PM,"789","17.6","33","989"
1/18/2022 11:44:13 PM,"790","17.6","33","989"
1/18/2022 11:46:13 PM,"790","17.5","33","989"
1/18/2022 11:48:13 PM,"790","17.4","33","989"
1/18/2022 11:50:13 PM,"781","17.4","33","989"
1/18/2022 11:52:13 PM,"785","17.4","33","989"
1/18/2022 11:54:13 PM,"794","17.4","33","989"
1/18/2022 11:56:13 PM,"795","17.4","33","989"
1/18/2022 11:58:13 PM,"791","17.4","33","989"
1/19/2022 12:00:13 AM,"796","17.3","33","989"
1/19/2022 12:02:13 AM,"793","17.3","33","989"
1/19/2022 12:04:13 AM,"757","17.3","33","989"
1/19/2022 12:06:13 AM,"752","17.3","33","989"
1/19/2022 12:08:13 AM,"739","17.3","32","989"
1/19/2022 12:10:13 AM,"725","17.2","32","989"
1/19/2022 12:12:13 AM,"748","17.2","32","989"
1/19/2022 12:14:13 AM,"739","17.2","32","989"
1/19/2022 12:16:13 AM,"742","17.1","32","989"
1/19/2022 12:18:13 AM,"743","17.1","32","989"
1/19/2022 12:20:13 AM,"732","17.1","32","989"
1/19/2022 12:22:13 AM,"714","17.1","32","989"
1/19/2022 12:24:13 AM,"699","16.9","32","989"
1/19/2022 12:26:13 AM,"690","16.9","32","989"
1/19/2022 12:28:13 AM,"701","16.9","32","989"
1/19/2022 12:30:13 AM,"698","16.9","32","989"
1/19/2022 12:32:13 AM,"692","16.9","32","989"
1/19/2022 12:34:13 AM,"660","16.9","32","988"
1/19/2022 12:36:13 AM,"664","16.9","32","988"
1/19/2022 12:38:13 AM,"642","16.9","32","988"
1/19/2022 12:40:13 AM,"637","16.8","32","988"
1/19/2022 12:42:13 AM,"632","16.8","32","988"
1/19/2022 12:44:13 AM,"634","16.8","32","988"
1/19/2022 12:46:13 AM,"644","16.7","32","988"
1/19/2022 12:48:13 AM,"631","16.7","32","988"
1/19/2022 12:50:13 AM,"615","16.6","32","988"
1/19/2022 12:52:13 AM,"626","16.6","32","988"
1/19/2022 12:54:13 AM,"608","16.6","32","988"
1/19/2022 12:56:13 AM,"614","16.5","32","988"
1/19/2022 12:58:13 AM,"610","16.5","32","988"
1/19/2022 1:00:13 AM,"602","16.5","32","988"
1/19/2022 1:02:13 AM,"599","16.5","32","988"
1/19/2022 1:04:13 AM,"593","16.4","32","988"
1/19/2022 1:06:13 AM,"575","16.4","32","988"
1/19/2022 1:08:13 AM,"570","16.4","32","988"
1/19/2022 1:10:13 AM,"571","16.4","32","988"
1/19/2022 1:12:13 AM,"563","16.4","32","988"
1/19/2022 1:14:13 AM,"546","16.4","32","988"
1/19/2022 1:16:13 AM,"546","16.3","32","988"
1/19/2022 1:18:13 AM,"546","16.3","32","988"
1/19/2022 1:20:13 AM,"544","16.3","32","988"
1/19/2022 1:22:13 AM,"559","16.2","32","988"
1/19/2022 1:24:13 AM,"539","16.2","32","988"
1/19/2022 1:26:13 AM,"535","16.2","32","988"
1/19/2022 1:28:13 AM,"549","16.2","32","987"
1/19/2022 1:30:13 AM,"536","16.1","32","987"
1/19/2022 1:32:13 AM,"525","16.1","32","987"
1/19/2022 1:34:13 AM,"531","16.1","32","987"
1/19/2022 1:36:13 AM,"522","16.1","32","987"
1/19/2022 1:38:13 AM,"517","16.1","32","987"
1/19/2022 1:40:13 AM,"501","16.1","32","987"
1/19/2022 1:42:13 AM,"512","16.1","32","987"
1/19/2022 1:44:13 AM,"503","16.0","32","987"
1/19/2022 1:46:13 AM,"513","16.0","32","987"
1/19/2022 1:48:13 AM,"509","16.0","32","987"
1/19/2022 1:50:13 AM,"509","15.9","32","987"
1/19/2022 1:52:13 AM,"495","15.9","32","987"
1/19/2022 1:54:13 AM,"498","15.9","32","987"
1/19/2022 1:56:13 AM,"508","15.9","32","987"
1/19/2022 1:58:13 AM,"498","15.9","32","987"
1/19/2022 2:00:13 AM,"491","15.8","32","987"
1/19/2022 2:02:13 AM,"498","15.8","32","987"
1/19/2022 2:04:13 AM,"498","15.8","32","987"
1/19/2022 2:06:13 AM,"486","15.8","32","987"
1/19/2022 2:08:13 AM,"486","15.8","32","987"
1/19/2022 2:10:13 AM,"482","15.8","32","987"
1/19/2022 2:12:13 AM,"487","15.8","32","987"
1/19/2022 2:14:13 AM,"487","15.7","32","987"
1/19/2022 2:16:13 AM,"485","15.7","32","987"
1/19/2022 2:18:13 AM,"487","15.7","32","987"
1/19/2022 2:20:13 AM,"477","15.6","32","987"
1/19/2022 2:22:13 AM,"483","15.6","32","986"
1/19/2022 2:24:13 AM,"478","15.6","32","987"
1/19/2022 2:26:13 AM,"481","15.6","32","987"
1/19/2022 2:28:13 AM,"484","15.6","32","986"
1/19/2022 2:30:13 AM,"469","15.5","32","987"
1/19/2022 2:32:13 AM,"468","15.6","32","987"
1/19/2022 2:34:13 AM,"477","15.5","32","987"
1/19/2022 2:36:13 AM,"473","15.5","32","986"
1/19/2022 2:38:13 AM,"483","15.5","32","987"
1/19/2022 2:40:13 AM,"482","15.5","32","986"
1/19/2022 2:42:13 AM,"474","15.5","32","986"
1/19/2022 2:44:13 AM,"468","15.5","32","987"
1/19/2022 2:46:13 AM,"475","15.4","32","986"
1/19/2022 2:48:13 AM,"481","15.4","32","986"
1/19/2022 2:50:13 AM,"469","15.4","32","987"
1/19/2022 2:52:13 AM,"475","15.4","32","986"
1/19/2022 2:54:13 AM,"462","15.3","32","987"
1/19/2022 2:56:13 AM,"468","15.3","32","986"
1/19/2022 2:58:13 AM,"471","15.3","32","986"
1/19/2022 3:00:13 AM,"465","15.4","32","986"
1/19/2022 3:02:13 AM,"470","15.4","32","986"
1/19/2022 3:04:13 AM,"475","15.5","32","986"
1/19/2022 3:06:13 AM,"465","15.5","32","986"
1/19/2022 3:08:13 AM,"461","15.5","32","986"
1/19/2022 3:10:13 AM,"472","15.5","32","986"
1/19/2022 3:12:13 AM,"473","15.5","32","986"
1/19/2022 3:14:13 AM,"484","15.5","32","986"
1/19/2022 3:16:13 AM,"471","15.4","32","986"
1/19/2022 3:18:13 AM,"456","15.4","32","986"
1/19/2022 3:20:13 AM,"468","15.4","32","986"
1/19/2022 3:22:13 AM,"472","15.4","32","986"
1/19/2022 3:24:13 AM,"467","15.4","32","986"
1/19/2022 3:26:13 AM,"466","15.3","32","986"
1/19/2022 3:28:13 AM,"458","15.3","32","986"
1/19/2022 3:30:13 AM,"461","15.3","32","986"
1/19/2022 3:32:13 AM,"474","15.3","32","986"
1/19/2022 3:34:13 AM,"471","15.3","32","986"
1/19/2022 3:36:13 AM,"454","15.4","32","986"
1/19/2022 3:38:13 AM,"465","15.4","32","986"
1/19/2022 3:40:13 AM,"473","15.5","32","986"
1/19/2022 3:42:13 AM,"474","15.5","32","986"
1/19/2022 3:44:13 AM,"477","15.5","32","986"
1/19/2022 3:46:13 AM,"467","15.5","32","986"
1/19/2022 3:48:13 AM,"469","15.4","32","986"
1/19/2022 3:50:13 AM,"471","15.4","32","986"
1/19/2022 3:52:13 AM,"463","15.4","32","986"
1/19/2022 3:54:13 AM,"466","15.4","32","986"
1/19/2022 3:56:13 AM,"468","15.4","32","986"
1/19/2022 3:58:13 AM,"475","15.4","32","986"
1/19/2022 4:00:13 AM,"465","15.3","32","986"
1/19/2022 4:02:13 AM,"473","15.3","32","986"
1/19/2022 4:04:13 AM,"471","15.3","32","986"
1/19/2022 4:06:13 AM,"455","15.3","32","986"
1/19/2022 4:08:13 AM,"474","15.3","32","986"
1/19/2022 4:10:13 AM,"463","15.4","32","986"
1/19/2022 4:12:13 AM,"476","15.4","32","986"
1/19/2022 4:14:13 AM,"473","15.5","32","986"
1/19/2022 4:16:13 AM,"462","15.5","32","986"
1/19/2022 4:18:13 AM,"471","15.5","32","986"
1/19/2022 4:20:13 AM,"466","15.5","32","986"
1/19/2022 4:22:13 AM,"469","15.4","32","985"
1/19/2022 4:24:13 AM,"473","15.4","32","985"
1/19/2022 4:26:13 AM,"468","15.4","32","985"
1/19/2022 4:28:13 AM,"485","15.4","32","985"
1/19/2022 4:30:13 AM,"471","15.4","32","985"
1/19/2022 4:32:13 AM,"479","15.3","32","985"
1/19/2022 4:34:13 AM,"479","15.3","32","985"
1/19/2022 4:36:13 AM,"468","15.3","32","985"
1/19/2022 4:38:13 AM,"460","15.3","32","985"
1/19/2022 4:40:13 AM,"468","15.4","32","985"
1/19/2022 4:42:13 AM,"471","15.4","32","985"
1/19/2022 4:44:13 AM,"470","15.4","32","985"
1/19/2022 4:46:13 AM,"476","15.5","32","985"
1/19/2022 4:48:13 AM,"471","15.5","32","985"
1/19/2022 4:50:13 AM,"463","15.4","32","985"
1/19/2022 4:52:13 AM,"473","15.4","32","985"
1/19/2022 4:54:13 AM,"482","15.4","32","986"
1/19/2022 4:56:13 AM,"485","15.4","32","985"
1/19/2022 4:58:13 AM,"477","15.3","32","985"
1/19/2022 5:00:13 AM,"466","15.3","32","985"
1/19/2022 5:02:13 AM,"461","15.3","32","985"
1/19/2022 5:04:13 AM,"475","15.3","32","985"
1/19/2022 5:06:13 AM,"479","15.3","32","985"
1/19/2022 5:08:13 AM,"469","15.3","32","985"
1/19/2022 5:10:13 AM,"467","15.3","32","985"
1/19/2022 5:12:13 AM,"464","15.3","32","985"
1/19/2022 5:14:13 AM,"477","15.3","32","985"
1/19/2022 5:16:13 AM,"469","15.3","32","986"
1/19/2022 5:18:13 AM,"466","15.3","32","986"
1/19/2022 5:20:13 AM,"472","15.3","32","986"
1/19/2022 5:22:13 AM,"466","15.4","32","986"
1/19/2022 5:24:13 AM,"466","15.4","32","986"
1/19/2022 5:26:13 AM,"467","15.4","32","986"
1/19/2022 5:28:13 AM,"472","15.4","32","986"
1/19/2022 5:30:13 AM,"473","15.4","32","986"
1/19/2022 5:32:13 AM,"473","15.4","32","986"
1/19/2022 5:34:13 AM,"472","15.4","32","986"
1/19/2022 5:36:13 AM,"469","15.3","32","986"
1/19/2022 5:38:13 AM,"474","15.3","32","986"
1/19/2022 5:40:13 AM,"468","15.3","32","986"
1/19/2022 5:42:13 AM,"472","15.4","32","986"
1/19/2022 5:44:13 AM,"477","15.5","32","986"
1/19/2022 5:46:13 AM,"459","15.6","32","986"
1/19/2022 5:48:13 AM,"489","15.6","32","986"
1/19/2022 5:50:13 AM,"475","15.7","32","986"
1/19/2022 5:52:13 AM,"488","15.8","32","986"
1/19/2022 5:54:13 AM,"493","15.9","32","986"
1/19/2022 5:56:13 AM,"492","16.0","32","986"
1/19/2022 5:58:13 AM,"485","16.1","32","986"
1/19/2022 6:00:13 AM,"496","16.2","32","986"
1/19/2022 6:02:13 AM,"490","16.2","32","986"
1/19/2022 6:04:13 AM,"498","16.3","32","986"
1/19/2022 6:06:13 AM,"491","16.4","32","986"
1/19/2022 6:08:13 AM,"506","16.4","32","986"
1/19/2022 6:10:13 AM,"501","16.5","32","986"
1/19/2022 6:12:13 AM,"489","16.6","32","986"
1/19/2022 6:14:13 AM,"512","16.7","32","986"
1/19/2022 6:16:13 AM,"504","16.8","32","986"
1/19/2022 6:18:13 AM,"513","16.8","32","986"
1/19/2022 6:20:13 AM,"508","16.9","32","986"
1/19/2022 6:22:13 AM,"504","16.9","32","986"
1/19/2022 6:24:13 AM,"511","17.0","32","986"
1/19/2022 6:26:13 AM,"516","17.1","32","986"
1/19/2022 6:28:13 AM,"515","17.2","32","986"
1/19/2022 6:30:13 AM,"511","17.2","32","986"
1/19/2022 6:32:13 AM,"527","17.3","32","986"
1/19/2022 6:34:13 AM,"526","17.4","32","986"
1/19/2022 6:36:13 AM,"520","17.4","32","986"
1/19/2022 6:38:13 AM,"523","17.5","32","986"
1/19/2022 6:40:13 AM,"526","17.6","32","986"
1/19/2022 6:42:13 AM,"534","17.6","32","987"
1/19/2022 6:44:13 AM,"538","17.7","32","986"
1/19/2022 6:46:13 AM,"549","17.8","32","986"
1/19/2022 6:48:13 AM,"552","17.8","32","986"
1/19/2022 6:50:13 AM,"546","17.8","32","986"
1/19/2022 6:52:13 AM,"542","17.9","32","987"
1/19/2022 6:54:13 AM,"560","17.9","32","986"
1/19/2022 6:56:13 AM,"571","18.0","32","987"
1/19/2022 6:58:13 AM,"605","18.1","32","987"
1/19/2022 7:00:13 AM,"590","18.2","32","987"
1/19/2022 7:02:13 AM,"599","18.1","32","987"
1/19/2022 7:04:13 AM,"598","18.1","32","987"
1/19/2022 7:06:13 AM,"612","18.1","32","987"
1/19/2022 7:08:13 AM,"627","18.0","32","987"
1/19/2022 7:10:13 AM,"648","18.1","32","987"
1/19/2022 7:12:13 AM,"651","18.1","33","987"
1/19/2022 7:14:13 AM,"689","18.1","33","987"
1/19/2022 7:16:13 AM,"695","18.2","33","987"
1/19/2022 7:18:13 AM,"695","18.3","33","987"
1/19/2022 7:20:13 AM,"709","18.4","33","987"
1/19/2022 7:22:13 AM,"712","18.4","33","987"
1/19/2022 7:24:13 AM,"717","18.4","33","987"
1/19/2022 7:26:13 AM,"715","18.4","33","987"
1/19/2022 7:28:13 AM,"715","18.4","33","987"
1/19/2022 7:30:13 AM,"706","18.3","33","987"
1/19/2022 7:32:13 AM,"732","18.3","33","987"
1/19/2022 7:34:13 AM,"738","18.2","33","987"
1/19/2022 7:36:13 AM,"767","18.2","33","987"
1/19/2022 7:38:13 AM,"767","18.3","33","987"
1/19/2022 7:40:13 AM,"764","18.3","33","987"
1/19/2022 7:42:13 AM,"780","18.4","33","987"
1/19/2022 7:44:13 AM,"778","18.4","33","987"
1/19/2022 7:46:13 AM,"785","18.4","33","987"
1/19/2022 7:48:13 AM,"801","18.4","33","987"
1/19/2022 7:50:13 AM,"798","18.3","33","988"
1/19/2022 7:52:13 AM,"789","18.3","33","987"
1/19/2022 7:54:13 AM,"791","18.3","33","988"
1/19/2022 7:56:13 AM,"780","18.3","33","988"
1/19/2022 7:58:13 AM,"781","18.3","33","988"
1/19/2022 8:00:13 AM,"782","18.4","33","988"
1/19/2022 8:02:13 AM,"772","18.4","33","988"
1/19/2022 8:04:13 AM,"780","18.4","33","988"
1/19/2022 8:06:13 AM,"786","18.4","33","988"
1/19/2022 8:08:13 AM,"792","18.4","33","988"
1/19/2022 8:10:13 AM,"787","18.4","33","988"
1/19/2022 8:12:13 AM,"806","18.4","33","988"
1/19/2022 8:14:13 AM,"777","18.4","33","988"
1/19/2022 8:16:13 AM,"782","18.5","33","988"
1/19/2022 8:18:13 AM,"758","18.6","33","988"
1/19/2022 8:20:13 AM,"784","18.5","33","988"
1/19/2022 8:22:13 AM,"786","18.4","33","988"
1/19/2022 8:24:13 AM,"765","18.4","33","988"
1/19/2022 8:26:13 AM,"774","18.4","33","988"
1/19/2022 8:28:13 AM,"757","18.3","33","988"
1/19/2022 8:30:13 AM,"768","18.4","33","988"
1/19/2022 8:32:13 AM,"777","18.4","33","988"
1/19/2022 8:34:13 AM,"764","18.5","33","988"
1/19/2022 8:36:13 AM,"753","18.6","33","988"
1/19/2022 8:38:13 AM,"765","18.6","33","988"
1/19/2022 8:40:13 AM,"767","18.5","33","988"
1/19/2022 8:42:13 AM,"759","18.5","33","988"
1/19/2022 8:44:13 AM,"769","18.4","33","988"
1/19/2022 8:46:13 AM,"761","18.4","33","989"
1/19/2022 8:48:13 AM,"746","18.4","33","989"
1/19/2022 8:50:13 AM,"747","18.4","33","989"
1/19/2022 8:52:13 AM,"740","18.4","33","989"
1/19/2022 8:54:13 AM,"747","18.5","33","989"
1/19/2022 8:56:13 AM,"757","18.6","34","989"
1/19/2022 8:58:13 AM,"750","18.6","33","989"
1/19/2022 9:00:13 AM,"743","18.6","33","989"
1/19/2022 9:02:13 AM,"743","18.6","33","989"
1/19/2022 9:04:13 AM,"742","18.5","33","989"
1/19/2022 9:06:13 AM,"730","18.4","33","989"
1/19/2022 9:08:13 AM,"732","18.4","33","989"
1/19/2022 9:10:13 AM,"721","18.4","34","989"
1/19/2022 9:12:13 AM,"737","18.4","34","989"
1/19/2022 9:14:13 AM,"733","18.4","34","989"
1/19/2022 9:16:13 AM,"751","18.4","34","989"
1/19/2022 9:18:13 AM,"745","18.5","34","989"
1/19/2022 9:20:13 AM,"774","18.7","34","989"
1/19/2022 9:22:13 AM,"706","18.8","33","989"
1/19/2022 9:24:13 AM,"687","18.8","33","989"
1/19/2022 9:26:13 AM,"678","18.8","33","989"
1/19/2022 9:28:13 AM,"673","18.8","33","989"
1/19/2022 9:30:13 AM,"684","18.8","33","989"
1/19/2022 9:32:13 AM,"714","18.9","35","989"
1/19/2022 9:34:13 AM,"704","18.9","34","989"
1/19/2022 9:36:13 AM,"713","18.9","33","989"
1/19/2022 9:38:13 AM,"708","18.9","33","990"
1/19/2022 9:40:13 AM,"714","18.9","33","990"
1/19/2022 9:42:13 AM,"723","18.9","33","990"
1/19/2022 9:44:13 AM,"747","18.9","33","990"
1/19/2022 9:46:13 AM,"735","18.8","33","990"
1/19/2022 9:48:13 AM,"750","18.8","33","990"
1/19/2022 9:50:13 AM,"750","18.8","33","990"
1/19/2022 9:52:13 AM,"773","18.8","33","990"
1/19/2022 9:54:13 AM,"796","18.8","33","990"
1/19/2022 9:56:13 AM,"800","18.8","33","990"
1/19/2022 9:58:13 AM,"795","18.8","33","990"
1/19/2022 10:00:13 AM,"812","18.8","33","990"
1/19/2022 10:02:13 AM,"795","18.8","33","990"
1/19/2022 10:04:13 AM,"802","18.8","33","990"
1/19/2022 10:06:13 AM,"792","18.8","33","990"
1/19/2022 10:08:13 AM,"786","18.8","33","990"
1/19/2022 10:10:13 AM,"813","18.8","33","990"
1/19/2022 10:12:13 AM,"793","18.9","33","990"
1/19/2022 10:14:13 AM,"803","18.9","33","990"
1/19/2022 10:16:13 AM,"794","18.9","33","990"
1/19/2022 10:18:13 AM,"810","18.9","33","990"
1/19/2022 10:20:13 AM,"813","18.9","33","990"
1/19/2022 10:22:13 AM,"814","18.9","33","990"
1/19/2022 10:24:13 AM,"815","18.9","33","990"
1/19/2022 10:26:13 AM,"796","18.9","33","990"
1/19/2022 10:28:13 AM,"786","18.9","33","990"
1/19/2022 10:30:13 AM,"806","18.9","33","990"
1/19/2022 10:32:13 AM,"823","19.0","33","990"
1/19/2022 10:34:13 AM,"798","19.0","33","990"
1/19/2022 10:36:13 AM,"802","18.9","33","990"
1/19/2022 10:38:13 AM,"784","18.9","33","990"
1/19/2022 10:40:13 AM,"779","19.0","33","990"
1/19/2022 10:42:13 AM,"772","19.0","33","990"
1/19/2022 10:44:13 AM,"799","19.0","33","990"
1/19/2022 10:46:13 AM,"811","19.1","33","990"
1/19/2022 10:48:13 AM,"787","19.0","33","990"
1/19/2022 10:50:13 AM,"762","19.0","33","990"
1/19/2022 10:52:13 AM,"729","19.1","33","990"
1/19/2022 10:54:13 AM,"756","19.1","33","990"
1/19/2022 10:56:13 AM,"785","19.1","33","990"
1/19/2022 10:58:13 AM,"774","19.1","33","990"
1/19/2022 11:00:13 AM,"775","19.1","33","990"
1/19/2022 11:02:13 AM,"763","19.1","33","990"
1/19/2022 11:04:13 AM,"747","19.1","33","990"
1/19/2022 11:06:13 AM,"723","19.1","33","991"
1/19/2022 11:08:13 AM,"725","19.1","33","990"
1/19/2022 11:10:13 AM,"743","19.1","33","991"
1/19/2022 11:12:13 AM,"713","19.1","33","991"
1/19/2022 11:14:13 AM,"703","19.1","33","991"
1/19/2022 11:16:13 AM,"700","19.1","33","991"
1/19/2022 11:18:13 AM,"700","19.2","33","991"
1/19/2022 11:20:13 AM,"707","19.2","33","991"
1/19/2022 11:22:13 AM,"695","19.2","33","991"
1/19/2022 11:24:13 AM,"704","19.2","33","991"
1/19/2022 11:26:13 AM,"725","19.2","33","991"
1/19/2022 11:28:13 AM,"716","19.2","33","991"
1/19/2022 11:30:13 AM,"722","19.2","33","990"
1/19/2022 11:32:13 AM,"720","19.2","33","990"
1/19/2022 11:34:13 AM,"707","19.2","33","990"
1/19/2022 11:36:13 AM,"717","19.2","33","991"
1/19/2022 11:38:13 AM,"695","19.2","33","991"
1/19/2022 11:40:13 AM,"690","19.2","33","991"
1/19/2022 11:42:13 AM,"702","19.2","33","991"
1/19/2022 11:44:13 AM,"711","19.2","32","991"
1/19/2022 11:46:13 AM,"711","19.2","32","991"
1/19/2022 11:48:13 AM,"699","19.2","32","991"
1/19/2022 11:50:13 AM,"701","19.2","32","991"
1/19/2022 11:52:13 AM,"704","19.2","32","991"
1/19/2022 11:54:13 AM,"704","19.2","32","991"
1/19/2022 11:56:13 AM,"684","19.2","32","991"
1/19/2022 11:58:13 AM,"683","19.2","32","991"
1/19/2022 12:00:13 PM,"675","19.2","32","991"
1/19/2022 12:02:13 PM,"661","19.2","32","991"
1/19/2022 12:04:13 PM,"665","19.2","32","991"
1/19/2022 12:06:13 PM,"649","19.2","32","991"
1/19/2022 12:08:13 PM,"651","19.2","32","991"
1/19/2022 12:10:13 PM,"670","19.2","32","991"
1/19/2022 12:12:13 PM,"673","19.2","32","991"
1/19/2022 12:14:13 PM,"687","19.2","32","991"
1/19/2022 12:16:13 PM,"692","19.2","32","991"
1/19/2022 12:18:13 PM,"701","19.2","32","991"
1/19/2022 12:20:13 PM,"727","19.3","32","991"
1/19/2022 12:22:13 PM,"728","19.3","32","991"
1/19/2022 12:24:13 PM,"747","19.3","32","991"
1/19/2022 12:26:13 PM,"744","19.3","32","991"
1/19/2022 12:28:13 PM,"709","19.3","32","991"
1/19/2022 12:30:13 PM,"663","19.3","32","991"
1/19/2022 12:32:13 PM,"659","19.3","32","991"
1/19/2022 12:34:13 PM,"655","19.3","32","991"
1/19/2022 12:36:13 PM,"676","19.3","32","991"
1/19/2022 12:38:13 PM,"671","19.3","32","991"
1/19/2022 12:40:13 PM,"667","19.3","32","991"
1/19/2022 12:42:13 PM,"660","19.3","32","991"
1/19/2022 12:44:13 PM,"645","19.3","32","991"
1/19/2022 12:46:13 PM,"662","19.3","32","991"
1/19/2022 12:48:13 PM,"735","19.3","32","991"
1/19/2022 12:50:13 PM,"848","19.3","32","991"
1/19/2022 12:52:13 PM,"869","19.4","32","991"
1/19/2022 12:54:13 PM,"855","19.4","32","991"
1/19/2022 12:56:13 PM,"824","19.4","32","991"
1/19/2022 12:58:13 PM,"779","19.4","32","991"
1/19/2022 1:00:13 PM,"744","19.4","32","991"
1/19/2022 1:02:13 PM,"718","19.4","32","991"
1/19/2022 1:04:13 PM,"709","19.4","32","991"
1/19/2022 1:06:13 PM,"702","19.4","32","991"
1/19/2022 1:08:13 PM,"673","19.4","32","991"
1/19/2022 1:10:13 PM,"646","19.4","32","991"
1/19/2022 1:12:13 PM,"616","19.4","32","991"
1/19/2022 1:14:13 PM,"645","19.4","31","991"
1/19/2022 1:16:13 PM,"678","19.4","31","991"
1/19/2022 1:18:13 PM,"705","19.4","31","991"
1/19/2022 1:20:13 PM,"716","19.3","31","991"
1/19/2022 1:22:13 PM,"690","19.3","31","991"
1/19/2022 1:24:13 PM,"691","19.3","31","991"
1/19/2022 1:26:13 PM,"670","19.3","31","992"
1/19/2022 1:28:13 PM,"650","19.3","31","992"
1/19/2022 1:30:13 PM,"643","19.3","31","992"
1/19/2022 1:32:13 PM,"642","19.2","31","992"
1/19/2022 1:34:13 PM,"616","19.2","31","992"
1/19/2022 1:36:13 PM,"606","19.2","31","992"
1/19/2022 1:38:13 PM,"588","19.2","31","992"
1/19/2022 1:40:13 PM,"594","19.2","31","992"
1/19/2022 1:42:13 PM,"587","19.2","31","992"
1/19/2022 1:44:13 PM,"605","19.2","31","992"
